Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,1.0,0.0625,0.25,0.11764705882352941,1.0,0.9639423076923077,0.53125,"[[1200    0]
 [  45    3]]"
0.3,0.06,CNN,None,None,None,0.9975,0.20833333333333334,0.45586456322026175,0.33333333333333337,0.8333333333333334,0.9528301886792453,0.6029166666666667,"[[1197    3]
 [  57   15]]"
0.3,0.08,CNN,None,None,None,1.0,0.010416666666666666,0.10206207261596575,0.020618556701030924,1.0,0.9266975308641975,0.5052083333333334,"[[1200    0]
 [  95    1]]"
0.3,0.1,CNN,None,None,None,0.9683333333333334,0.45,0.6601136265825756,0.5094339622641509,0.5869565217391305,0.9212121212121213,0.7091666666666667,"[[1162   38]
 [  66   54]]"
0.3,0.15,CNN,None,None,None,0.9983333333333333,0.07777777777777778,0.27865417303200063,0.14285714285714288,0.875,0.8782608695652174,0.5380555555555555,"[[1198    2]
 [ 166   14]]"
0.3,0.2,CNN,None,None,None,0.9525,0.5625,0.7319707985978675,0.625,0.703125,0.8875,0.7575,"[[1143   57]
 [ 105  135]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,1.0,0.041666666666666664,0.2041241452319315,0.07999999999999999,1.0,0.9631410256410257,0.5208333333333334,"[[1200    0]
 [  46    2]]"
0.3,0.06,CNN,None,None,None,0.9916666666666667,0.3055555555555556,0.5504627682770736,0.42307692307692313,0.6875,0.9528301886792453,0.6486111111111111,"[[1190   10]
 [  50   22]]"
0.3,0.08,CNN,None,None,None,0.99,0.3333333333333333,0.5744562646538028,0.4571428571428572,0.7272727272727273,0.941358024691358,0.6616666666666666,"[[1188   12]
 [  64   32]]"
0.3,0.1,CNN,None,None,None,0.9933333333333333,0.15833333333333333,0.3965826241500978,0.2585034013605442,0.7037037037037037,0.9174242424242425,0.5758333333333333,"[[1192    8]
 [ 101   19]]"
0.3,0.15,CNN,None,None,None,0.9758333333333333,0.40555555555555556,0.6290903191352015,0.5177304964539007,0.7156862745098039,0.9014492753623189,0.6906944444444444,"[[1171   29]
 [ 107   73]]"
0.3,0.2,CNN,None,None,None,0.9433333333333334,0.6791666666666667,0.8004252342071404,0.692144373673036,0.7056277056277056,0.8993055555555556,0.81125,"[[1132   68]
 [  77  163]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,0.9966666666666667,0.16666666666666666,0.40756730868791613,0.25,0.5,0.9803921568627451,0.5816666666666668,"[[1196    4]
 [  20    4]]"
0.3,0.04,CNN,None,None,None,0.9966666666666667,0.2708333333333333,0.5195484150255446,0.39999999999999997,0.7647058823529411,0.96875,0.6337499999999999,"[[1196    4]
 [  35   13]]"
0.3,0.06,CNN,None,None,None,0.9933333333333333,0.2361111111111111,0.48429024049327796,0.3505154639175258,0.68,0.9504716981132075,0.6147222222222223,"[[1192    8]
 [  55   17]]"
0.3,0.08,CNN,None,None,None,0.9783333333333334,0.3333333333333333,0.5710613899670605,0.4155844155844156,0.5517241379310345,0.9305555555555556,0.6558333333333333,"[[1174   26]
 [  64   32]]"
0.3,0.1,CNN,None,None,None,0.9891666666666666,0.325,0.566991328563909,0.45348837209302334,0.75,0.9287878787878788,0.6570833333333334,"[[1187   13]
 [  81   39]]"
0.3,0.15,CNN,None,None,None,0.9733333333333334,0.40555555555555556,0.6282839650514255,0.5122807017543859,0.6952380952380952,0.8992753623188405,0.6894444444444444,"[[1168   32]
 [ 107   73]]"
0.3,0.2,CNN,None,None,None,0.9341666666666667,0.6041666666666666,0.7512605148090182,0.625,0.6473214285714286,0.8791666666666667,0.7691666666666666,"[[1121   79]
 [  95  145]]"
