Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.041666666666666664,0.2041241452319315,0.07999999999999999,1.0,0.9812091503267973,0.5208333333333334,"[[1200    0]
 [  23    1]]"
0.3,0.04,CNN,None,None,None,1.0,0.041666666666666664,0.2041241452319315,0.07999999999999999,1.0,0.9631410256410257,0.5208333333333334,"[[1200    0]
 [  46    2]]"
0.3,0.06,CNN,None,None,None,1.0,0.08333333333333333,0.28867513459481287,0.15384615384615385,1.0,0.9481132075471698,0.5416666666666666,"[[1200    0]
 [  66    6]]"
0.3,0.08,CNN,None,None,None,0.9916666666666667,0.28125,0.5281157543569402,0.40601503759398494,0.7297297297297297,0.9390432098765432,0.6364583333333333,"[[1190   10]
 [  69   27]]"
0.3,0.1,CNN,None,None,None,0.9966666666666667,0.14166666666666666,0.37575849217874563,0.24113475177304966,0.8095238095238095,0.918939393939394,0.5691666666666666,"[[1196    4]
 [ 103   17]]"
0.3,0.15,CNN,None,None,None,0.9316666666666666,0.45555555555555555,0.6514797970205415,0.47674418604651164,0.5,0.8695652173913043,0.6936111111111111,"[[1118   82]
 [  98   82]]"
0.3,0.2,CNN,None,None,None,0.9708333333333333,0.44583333333333336,0.6578980628570897,0.5602094240837696,0.7535211267605634,0.8833333333333333,0.7083333333333334,"[[1165   35]
 [ 133  107]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,0.9966666666666667,0.2916666666666667,0.5391608706540604,0.42424242424242425,0.7777777777777778,0.969551282051282,0.6441666666666667,"[[1196    4]
 [  34   14]]"
0.3,0.06,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9433962264150944,0.5,"[[1200    0]
 [  72    0]]"
0.3,0.08,CNN,None,None,None,0.9933333333333333,0.2708333333333333,0.5186788773198479,0.39999999999999997,0.7647058823529411,0.9398148148148148,0.6320833333333333,"[[1192    8]
 [  70   26]]"
0.3,0.1,CNN,None,None,None,0.9916666666666667,0.18333333333333332,0.4263866268488677,0.2894736842105263,0.6875,0.9181818181818182,0.5875,"[[1190   10]
 [  98   22]]"
0.3,0.15,CNN,None,None,None,0.9791666666666666,0.40555555555555556,0.6301638528839,0.5251798561151079,0.7448979591836735,0.9043478260869565,0.6923611111111111,"[[1175   25]
 [ 107   73]]"
0.3,0.2,CNN,None,None,None,0.9825,0.3875,0.6170241081189616,0.5254237288135594,0.8157894736842105,0.8833333333333333,0.6849999999999999,"[[1179   21]
 [ 147   93]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,0.9975,0.08333333333333333,0.2883140648667699,0.14545454545454545,0.5714285714285714,0.9623397435897436,0.5404166666666667,"[[1197    3]
 [  44    4]]"
0.3,0.06,CNN,None,None,None,1.0,0.041666666666666664,0.2041241452319315,0.07999999999999999,1.0,0.9457547169811321,0.5208333333333334,"[[1200    0]
 [  69    3]]"
0.3,0.08,CNN,None,None,None,0.9958333333333333,0.15625,0.39446033809919767,0.25862068965517243,0.75,0.933641975308642,0.5760416666666667,"[[1195    5]
 [  81   15]]"
0.3,0.1,CNN,None,None,None,0.9958333333333333,0.175,0.41745758267557354,0.2876712328767123,0.8076923076923077,0.9212121212121213,0.5854166666666667,"[[1195    5]
 [  99   21]]"
0.3,0.15,CNN,None,None,None,0.94,0.5555555555555556,0.7226494462892933,0.5681818181818183,0.5813953488372093,0.8898550724637682,0.7477777777777778,"[[1128   72]
 [  80  100]]"
0.3,0.2,CNN,None,None,None,0.9683333333333334,0.4791666666666667,0.6811703572202445,0.5852417302798982,0.7516339869281046,0.8868055555555555,0.7237500000000001,"[[1162   38]
 [ 125  115]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,1.0,0.125,0.3535533905932738,0.2222222222222222,1.0,0.9663461538461539,0.5625,"[[1200    0]
 [  42    6]]"
0.3,0.06,CNN,None,None,None,1.0,0.041666666666666664,0.2041241452319315,0.07999999999999999,1.0,0.9457547169811321,0.5208333333333334,"[[1200    0]
 [  69    3]]"
0.3,0.08,CNN,None,None,None,0.9933333333333333,0.2708333333333333,0.5186788773198479,0.39999999999999997,0.7647058823529411,0.9398148148148148,0.6320833333333333,"[[1192    8]
 [  70   26]]"
0.3,0.1,CNN,None,None,None,0.9958333333333333,0.175,0.41745758267557354,0.2876712328767123,0.8076923076923077,0.9212121212121213,0.5854166666666667,"[[1195    5]
 [  99   21]]"
0.3,0.15,CNN,None,None,None,0.9691666666666666,0.45555555555555555,0.6644616311415275,0.548494983277592,0.6890756302521008,0.9021739130434783,0.7123611111111111,"[[1163   37]
 [  98   82]]"
0.3,0.2,CNN,None,None,None,0.8975,0.6583333333333333,0.7686703888316934,0.6065259117082533,0.5622775800711743,0.8576388888888888,0.7779166666666666,"[[1077  123]
 [  82  158]]"
Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.02,CNN,None,None,None,1.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.5,"[[1200    0]
 [  24    0]]"
0.3,0.04,CNN,None,None,None,1.0,0.020833333333333332,0.14433756729740643,0.04081632653061225,1.0,0.9623397435897436,0.5104166666666666,"[[1200    0]
 [  47    1]]"
0.3,0.06,CNN,None,None,None,0.9966666666666667,0.16666666666666666,0.40756730868791613,0.27272727272727276,0.75,0.949685534591195,0.5816666666666668,"[[1196    4]
 [  60   12]]"
0.3,0.08,CNN,None,None,None,0.9891666666666666,0.16666666666666666,0.40603092383599443,0.256,0.5517241379310345,0.9282407407407407,0.5779166666666667,"[[1187   13]
 [  80   16]]"
0.3,0.1,CNN,None,None,None,1.0,0.11666666666666667,0.3415650255319866,0.208955223880597,1.0,0.9196969696969697,0.5583333333333333,"[[1200    0]
 [ 106   14]]"
0.3,0.15,CNN,None,None,None,0.9783333333333334,0.46111111111111114,0.6716549488914456,0.5743944636678201,0.7614678899082569,0.9108695652173913,0.7197222222222223,"[[1174   26]
 [  97   83]]"
0.3,0.2,CNN,None,None,None,0.9558333333333333,0.5458333333333333,0.7223058178115723,0.6179245283018868,0.7119565217391305,0.8875,0.7508333333333332,"[[1147   53]
 [ 109  131]]"
