Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,0.1,Decision Tree,None,None,None,0.976,0.64,0.790341698254622,0.6808510638297872,0.7272727272727273,0.9454545454545454,0.808,"[[488  12]
 [ 18  32]]"
0.2,0.1,SVM,None,None,None,0.978,0.5,0.6992853494818835,0.5813953488372093,0.6944444444444444,0.9345454545454546,0.739,"[[489  11]
 [ 25  25]]"
0.2,0.1,CNN,None,None,None,0.994,0.36,0.5981972918694969,0.5070422535211268,0.8571428571428571,0.9363636363636364,0.6769999999999999,"[[497   3]
 [ 32  18]]"
0.2,0.1,WSVM,None,10000,None,0.966,0.6,0.7613146524269713,0.6185567010309279,0.6382978723404256,0.9327272727272727,0.783,"[[483  17]
 [ 20  30]]"
0.2,0.1,ADABoost.DecisionTree,10,None,None,0.97,0.58,0.750066663703967,0.6170212765957446,0.6590909090909091,0.9345454545454546,0.775,"[[485  15]
 [ 21  29]]"
0.2,0.1,ADABoost.SVM,10,None,None,0.994,0.42,0.6461269225160022,0.5675675675675675,0.875,0.9418181818181818,0.707,"[[497   3]
 [ 29  21]]"
0.2,0.1,ADABoost.W-SVM,10,10000,None,0.97,0.6,0.762889244910426,0.631578947368421,0.6666666666666666,0.9363636363636364,0.785,"[[485  15]
 [ 20  30]]"
0.2,0.1,Im.AdaBoost.DecisionTree.2,10,None,None,0.98,0.64,0.7919595949289332,0.6956521739130435,0.7619047619047619,0.9490909090909091,0.81,"[[490  10]
 [ 18  32]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,0.2,0.956,0.7,0.8180464534487023,0.6542056074766356,0.6140350877192983,0.9327272727272727,0.828,"[[478  22]
 [ 15  35]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,0.2,0.956,0.66,0.7943299062732059,0.6285714285714286,0.6,0.9290909090909091,0.808,"[[478  22]
 [ 17  33]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,0.5,0.958,0.72,0.8305179107039173,0.6728971962616822,0.631578947368421,0.9363636363636364,0.839,"[[479  21]
 [ 14  36]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,0.5,0.954,0.72,0.8287822391919363,0.6605504587155964,0.6101694915254238,0.9327272727272727,0.837,"[[477  23]
 [ 14  36]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,0.8,0.958,0.66,0.7951603611850883,0.6346153846153846,0.6111111111111112,0.9309090909090909,0.809,"[[479  21]
 [ 17  33]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,0.8,0.952,0.66,0.792666386318986,0.616822429906542,0.5789473684210527,0.9254545454545454,0.806,"[[476  24]
 [ 17  33]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,1.1,0.958,0.72,0.8305179107039173,0.6728971962616822,0.631578947368421,0.9363636363636364,0.839,"[[479  21]
 [ 14  36]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,1.1,0.948,0.64,0.7789223324568375,0.5925925925925927,0.5517241379310345,0.92,0.794,"[[474  26]
 [ 18  32]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,1.4,0.958,0.68,0.8071183308536611,0.6476190476190475,0.6181818181818182,0.9327272727272727,0.819,"[[479  21]
 [ 16  34]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,1.4,0.954,0.66,0.7934985822293572,0.6226415094339622,0.5892857142857143,0.9272727272727272,0.807,"[[477  23]
 [ 17  33]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,1.7,0.958,0.6,0.7581556568409946,0.5940594059405941,0.5882352941176471,0.9254545454545454,0.7789999999999999,"[[479  21]
 [ 20  30]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,1.7,0.95,0.68,0.8037412518964048,0.6238532110091743,0.576271186440678,0.9254545454545454,0.8150000000000001,"[[475  25]
 [ 16  34]]"
0.2,0.1,Im.AdaBoost.DecisionTree.1,10,None,2,0.958,0.68,0.8071183308536611,0.6476190476190475,0.6181818181818182,0.9327272727272727,0.819,"[[479  21]
 [ 16  34]]"
0.2,0.1,Im.AdaBoost.DecisionTree.12,10,None,2,0.95,0.72,0.8270429251254132,0.6486486486486487,0.5901639344262295,0.9290909090909091,0.835,"[[475  25]
 [ 14  36]]"
0.2,0.1,Im.ADABoost.SVM.1,10,10000,0.2,0.966,0.6,0.7613146524269713,0.6185567010309279,0.6382978723404256,0.9327272727272727,0.783,"[[483  17]
 [ 20  30]]"
0.2,0.1,Im.ADABoost.SVM.2,10,10000,0.2,0.966,0.6,0.7613146524269713,0.6185567010309279,0.6382978723404256,0.9327272727272727,0.783,"[[483  17]
 [ 20  30]]"
