Test Size,Rate,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,0.2,Decision Tree,None,None,None,0.9615384615384616,0.7,0.820412654142367,0.7368421052631577,0.7777777777777778,0.9193548387096774,0.8307692307692307,"[[50  2]
 [ 3  7]]"
0.2,0.2,SVM,None,None,None,0.9615384615384616,0.6,0.7595545253127499,0.6666666666666665,0.75,0.9032258064516129,0.7807692307692308,"[[50  2]
 [ 4  6]]"
0.2,0.2,CNN,None,None,None,0.9807692307692307,0.6,0.7671124679351382,0.7058823529411764,0.8571428571428571,0.9193548387096774,0.7903846153846154,"[[51  1]
 [ 4  6]]"
0.2,0.2,WSVM,None,10,None,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,WSVM,None,100,None,0.9615384615384616,0.8,0.8770580193070292,0.8000000000000002,0.8,0.9354838709677419,0.8807692307692307,"[[50  2]
 [ 2  8]]"
0.2,0.2,ADABoost.DecisionTree,10,None,None,0.9423076923076923,0.6,0.7519206177414045,0.631578947368421,0.6666666666666666,0.8870967741935484,0.7711538461538462,"[[49  3]
 [ 4  6]]"
0.2,0.2,ADABoost.SVM,10,None,None,0.9423076923076923,0.9,0.9209109202723806,0.8181818181818182,0.75,0.9354838709677419,0.9211538461538461,"[[49  3]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,10,10,None,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
0.2,0.2,ADABoost.W-SVM,10,100,None,1.0,0.7,0.8366600265340756,0.8235294117647058,1.0,0.9516129032258065,0.85,"[[52  0]
 [ 3  7]]"
0.2,0.2,ADABoost.DecisionTree,20,None,None,0.9615384615384616,0.6,0.7595545253127499,0.6666666666666665,0.75,0.9032258064516129,0.7807692307692308,"[[50  2]
 [ 4  6]]"
0.2,0.2,ADABoost.SVM,20,None,None,0.9423076923076923,0.9,0.9209109202723806,0.8181818181818182,0.75,0.9354838709677419,0.9211538461538461,"[[49  3]
 [ 1  9]]"
0.2,0.2,ADABoost.W-SVM,20,10,None,0.9807692307692307,0.8,0.8857851797221404,0.8421052631578948,0.8888888888888888,0.9516129032258065,0.8903846153846153,"[[51  1]
 [ 2  8]]"
