Test Size,Name Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,Decision Tree,None,none,none,0.8043478260869565,0.125,0.3170859162133657,0.14814814814814814,0.18181818181818182,0.6290322580645161,0.4646739130434783,"[[37  9]
 [14  2]]"
0.2,SVM (lib),None,none,none,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ADA_DSTree,None,none,none,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ADA_SVM,None,none,none,0.9565217391304348,0.0625,0.24450482346091287,0.10526315789473684,0.3333333333333333,0.7258064516129032,0.5095108695652174,"[[44  2]
 [15  1]]"
0.2,CNN,None,none,none,0.9130434782608695,0.0,0.0,0.0,0.0,0.6774193548387096,0.4565217391304348,"[[42  4]
 [16  0]]"
0.2,WSVM,10,10,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,10,10,0.3,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ImADA_1_DecisionTree,10,10,0.3,0.8043478260869565,0.0625,0.22421360157322032,0.07692307692307693,0.1,0.6129032258064516,0.43342391304347827,"[[37  9]
 [15  1]]"
0.2,ImADA_2_DecisionTree,10,10,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,10,10,0.3,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA1_SVM,10,10,0.3,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA2_SVM,10,10,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_SVM,10,10,0.3,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA1_WSVM,10,10,0.3,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,ImADA2_WSVM,10,10,0.3,0.782608695652174,0.1875,0.3830654388414369,0.20689655172413793,0.23076923076923078,0.6290322580645161,0.485054347826087,"[[36 10]
 [13  3]]"
0.2,ImADA_12_WSVM,10,10,0.3,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,WSVM,10,10,0.7,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,10,10,0.7,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ImADA_1_DecisionTree,10,10,0.7,0.8043478260869565,0.0625,0.22421360157322032,0.07692307692307693,0.1,0.6129032258064516,0.43342391304347827,"[[37  9]
 [15  1]]"
0.2,ImADA_2_DecisionTree,10,10,0.7,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,10,10,0.7,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA1_SVM,10,10,0.7,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA2_SVM,10,10,0.7,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_SVM,10,10,0.7,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA1_WSVM,10,10,0.7,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,ImADA2_WSVM,10,10,0.7,0.782608695652174,0.1875,0.3830654388414369,0.20689655172413793,0.23076923076923078,0.6290322580645161,0.485054347826087,"[[36 10]
 [13  3]]"
0.2,ImADA_12_WSVM,10,10,0.7,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,WSVM,10,10,1,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,10,10,1,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ImADA_1_DecisionTree,10,10,1,0.8043478260869565,0.0625,0.22421360157322032,0.07692307692307693,0.1,0.6129032258064516,0.43342391304347827,"[[37  9]
 [15  1]]"
0.2,ImADA_2_DecisionTree,10,10,1,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,10,10,1,0.8478260869565217,0.0625,0.23019368026681924,0.08333333333333333,0.125,0.6451612903225806,0.45516304347826086,"[[39  7]
 [15  1]]"
0.2,ImADA1_SVM,10,10,1,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA2_SVM,10,10,1,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_SVM,10,10,1,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA1_WSVM,10,10,1,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,ImADA2_WSVM,10,10,1,0.782608695652174,0.1875,0.3830654388414369,0.20689655172413793,0.23076923076923078,0.6290322580645161,0.485054347826087,"[[36 10]
 [13  3]]"
0.2,ImADA_12_WSVM,10,10,1,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,WSVM,10,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,10,10,1.5,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
