Test Size,Name Method,Name Function,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,Decision Tree,Decision Tree,None,none,none,0.8245614035087719,0.3611111111111111,0.545672323469305,0.37681159420289856,0.3939393939393939,0.7133333333333334,0.5928362573099416,"[[94 20]
 [23 13]]"
0.2,SVM (lib),SVM (lib),None,none,none,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,ADA_DSTree,ADA_DSTree,None,none,none,0.9210526315789473,0.4166666666666667,0.6194932847291901,0.5,0.625,0.8,0.668859649122807,"[[105   9]
 [ 21  15]]"
0.2,ADA_SVM,ADA_SVM,None,none,none,0.9912280701754386,0.1111111111111111,0.3318681247750609,0.19512195121951217,0.8,0.78,0.5511695906432749,"[[113   1]
 [ 32   4]]"
0.2,CNN,CNN,None,none,none,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,WSVM,WSVM,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,ADA_WSVM,ADA_WSVM,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,ImADA_1_DecisionTree,ImADA_1_DecisionTree,10,1000,1,0.6403508771929824,0.5277777777777778,0.5813458204571208,0.3958333333333333,0.31666666666666665,0.6133333333333333,0.5840643274853801,"[[73 41]
 [17 19]]"
0.2,ImADA_2_DecisionTree,ImADA_2_DecisionTree,10,1000,1,0.8157894736842105,0.4166666666666667,0.5830199659546441,0.4166666666666667,0.4166666666666667,0.72,0.6162280701754386,"[[93 21]
 [21 15]]"
0.2,ImADA_12_DecisionTree,ImADA_12_DecisionTree,10,1000,1,0.6578947368421053,0.5555555555555556,0.6045635417583431,0.42105263157894735,0.3389830508474576,0.6333333333333333,0.6067251461988304,"[[75 39]
 [16 20]]"
0.2,ImADA1_SVM,ImADA1_SVM,10,1000,1,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]"
0.2,ImADA2_SVM,ImADA2_SVM,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,ImADA_12_SVM,ImADA_12_SVM,10,1000,1,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]"
0.2,ImADA1_WSVM,ImADA1_WSVM,10,1000,1,0.19298245614035087,0.9444444444444444,0.42692061156261596,0.41975308641975306,0.2698412698412698,0.37333333333333335,0.5687134502923976,"[[22 92]
 [ 2 34]]"
0.2,ImADA2_WSVM,ImADA2_WSVM,10,1000,1,0.8947368421052632,0.4166666666666667,0.6105792475542055,0.4761904761904762,0.5555555555555556,0.78,0.6557017543859649,"[[102  12]
 [ 21  15]]"
0.2,ImADA_12_WSVM,ImADA_12_WSVM,10,1000,1,0.03508771929824561,1.0,0.1873171623163388,0.39560439560439553,0.2465753424657534,0.26666666666666666,0.5175438596491229,"[[  4 110]
 [  0  36]]"
0.2,own_class_center,lin_center_own,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,own_class_center,exp,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,estimated_hyper_lin,lin_center_own,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,estimated_hyper_lin,exp,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,actual_hyper_lin,lin_center_own,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,actual_hyper_lin,exp,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v1,10,1000,1,1.0,0.0,0.0,0.0,0.0,0.76,0.5,"[[114   0]
 [ 36   0]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v2,10,1000,1,0.7280701754385965,0.7777777777777778,0.7525136564334951,0.5894736842105264,0.4745762711864407,0.74,0.7529239766081871,"[[83 31]
 [ 8 28]]"
